id,display_name,sector
3612,"Physical Therapy, Sports Therapy and Rehabilitation",Health
3614,Radiological and Ultrasound Technology,Health
3616,Speech and Hearing,Health
1402,Accounting,Economics
1403,Business and International Management,Economics
1404,Management Information Systems,Economics
1405,Management of Technology and Innovation,Economics
1406,Marketing,Economics
1407,Organizational Behavior and Human Resource Management,Economics
1408,Strategy and Management,Economics
1409,"Tourism, Leisure and Hospitality Management",Economics
1410,Industrial relations,Economics
2000,"General Economics, Econometrics and Finance",Economics
2002,Economics and Econometrics,Economics
2003,Finance,Economics
3303,Development,Economics
1200,General Arts and Humanities,Social sciences and humanities
1202,History,Social sciences and humanities
1203,Language and Linguistics,Social sciences and humanities
1204,Archeology,Social sciences and humanities
1205,Classics,Social sciences and humanities
1207,History and Philosophy of Science,Social sciences and humanities
1208,Literature and Literary Theory,Social sciences and humanities
1209,Museology,Social sciences and humanities
1210,Music,Social sciences and humanities
1211,Philosophy,Social sciences and humanities
1212,Religious studies,Social sciences and humanities
1213,Visual Arts and Performing Arts,Social sciences and humanities
1302,Aging,Social sciences and humanities
2910,"Issues, ethics and legal aspects",Social sciences and humanities
2911,Leadership and Management,Social sciences and humanities
2308,"Management, Monitoring, Policy and Law",Social sciences and humanities
3304,Education,Social sciences and humanities
3305,"Geography, Planning and Development",Social sciences and humanities
3207,Social Psychology,Social sciences and humanities
3300,General Social Sciences,Social sciences and humanities
3302,Archeology,Social sciences and humanities
3308,Law,Social sciences and humanities
3309,Library and Information Sciences,Social sciences and humanities
3310,Linguistics and Language,Social sciences and humanities
3311,Safety Research,Social sciences and humanities
3312,Sociology and Political Science,Social sciences and humanities
3314,Anthropology,Social sciences and humanities
3315,Communication,Social sciences and humanities
3316,Cultural Studies,Social sciences and humanities
3317,Demography,Social sciences and humanities
3318,Gender Studies,Social sciences and humanities
3320,Political Science and International Relations,Social sciences and humanities
3321,Public Administration,Social sciences and humanities
3307,Human Factors and Ergonomics,Social sciences and humanities
1503,Catalysis,Other topics
1504,Chemical Health and Safety,Other topics
