"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2N2SJ7CN","journalArticle","2022","Wamsler, C.; Osberg, G.","Transformative climate policy mainstreaming - Engaging the political and the personal","Global Sustainability","","","10.1017/sus.2022.11","","","2022","2023-10-03 14:08:55","2023-10-03 14:09:00","","13","","","5","","","","","","","","","","it","","","","","","","Citation Key: wamsler2022b Place: Online","","/Users/rainerkrug/Zotero TfC Ch 2/storage/8VSISQIF/Wamsler_Osberg_2022_Transformative climate policy mainstreaming - Engaging the political and the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBNFV6AL","book","2000","Wood, A.; Stedman-Edwards, P.; Mang, J.","The root causes of biodiversity loss","","","","","","","2000","2023-10-03 14:08:55","2023-10-03 14:08:55","","","","","","","","","","","","","Earthscan","","en","","","","","","","Citation Key: wood2000a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIDUCVM3","journalArticle","2021","Zelenski, J.M.; Desrochers, J.E.","Can positive and self-transcendent emotions promote pro-environmental behavior?","Current Opinion in Psychology","","","10.1016/j.copsyc.2021.02.009","","","2021","2023-10-03 14:08:55","2023-10-03 14:09:01","","31–35","","","42","","","","","","","","","","en","","","","","","","Citation Key: zelenski2021a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/JR6KAVU6/Zelenski_Desrochers_2021_Can positive and self-transcendent emotions promote pro-environmental behavior.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFJ54WE6","journalArticle","2021","Wamsler, Christine; Osberg, Gustav; Osika, Walter; Herndersson, Heidi; Mundaca, Luis","Linking internal and external transformation for sustainability and climate action: Towards a new research and policy agenda","Global Environmental Change","","09593780","10.1016/j.gloenvcha.2021.102373","https://linkinghub.elsevier.com/retrieve/pii/S0959378021001527","","2021-11","2023-10-03 14:09:39","2023-10-03 14:09:39","2023-10-03 14:09:39","102373","","","71","","Global Environmental Change","Linking internal and external transformation for sustainability and climate action","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MCC2J73","journalArticle","2021","Dempsey, Jessica; Irvine-Broque, Audrey; Bigger, Patrick; Christiansen, Jens; Muchhala, Bhumika; Nelson, Sara; Rojas-Marchini, Fernanda; Shapiro-Garza, Elizabeth; Schuldt, Andrew; DiSilvestro, Adriana","Biodiversity targets will not be met without debt and tax justice","Nature Ecology & Evolution","","2397-334X","10.1038/s41559-021-01619-5","https://www.nature.com/articles/s41559-021-01619-5","","2021-12-20","2023-10-03 14:10:58","2023-10-03 14:10:58","2023-10-03 14:10:58","237-239","","3","6","","Nat Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/CIZXICHN/Dempsey et al_2021_Biodiversity targets will not be met without debt and tax justice.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQII7LMM","journalArticle","2021","Visseren-Hamakers, Ingrid J.; Razzaque, Jona; McElwee, Pamela; Turnhout, Esther; Kelemen, Eszter; Rusch, Graciela M; Fernández-Llamazares, Álvaro; Chan, Ivis; Lim, Michelle; Islar, Mine; Gautam, Ambika P; Williams, Meryl; Mungatana, Eric; Karim, Md Saiful; Muradian, Roldan; Gerber, Leah R.; Lui, Gabriel; Liu, Jinlong; Spangenberg, Joachim H.; Zaleski, Dara","Transformative governance of biodiversity: insights for sustainable development","Current Opinion in Environmental Sustainability","","18773435","10.1016/j.cosust.2021.06.002","https://linkinghub.elsevier.com/retrieve/pii/S1877343521000749","","2021-12","2023-10-03 14:12:01","2023-10-03 14:12:01","2023-10-03 14:12:01","20-28","","","53","","Current Opinion in Environmental Sustainability","Transformative governance of biodiversity","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/AP7PA8MJ/Visseren-Hamakers et al_2021_Transformative governance of biodiversity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WG8JZNE4","journalArticle","2022","Wamsler, Christine; Mundaca, Luis; Osberg, Gustav","Rethinking political agency: The role of individuals’ engagement, perceptions and trust in transitioning to a low-carbon transport system","Journal of Cleaner Production","","09596526","10.1016/j.jclepro.2022.132197","https://linkinghub.elsevier.com/retrieve/pii/S0959652622018030","","2022-08","2023-10-03 14:15:43","2023-10-03 14:15:43","2023-10-03 14:15:43","132197","","","360","","Journal of Cleaner Production","Rethinking political agency","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TDAPIINK","journalArticle","1993","Gadgil, Madhav; Berkes, F.; Folke, Carl","Indigenous knowledge for biodiversity conservation","Ambio","","","","","","1993-01","2023-10-03 14:17:27","2023-10-03 14:24:27","","","","","22:","","","","","","","","","","","","","","","","","Citation Key: article","","/Users/rainerkrug/Zotero TfC Ch 2/storage/3V8ZA76X/Gadgil et al_1993_Indigenous knowledge for biodiversity conservation.PDF","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4VE7725","journalArticle","2022","Wamsler, Christine; Bristow, Jamie","At the intersection of mind and climate change: integrating inner dimensions of climate change into policymaking and practice","Climatic Change","","0165-0009, 1573-1480","10.1007/s10584-022-03398-9","https://link.springer.com/10.1007/s10584-022-03398-9","Abstract             Dominant policy approaches have failed to generate action at anywhere near the rate, scale or depth needed to avert climate change and environmental disaster. In particular, they fail to address the need for a fundamental cultural transformation, which involves a collective shift in mindsets (values, beliefs, worldviews and associated inner human capacities). Whilst scholars and practitioners are increasingly calling for more integrative approaches, knowledge on how the link between our mind and the climate crisis can be best addressed in policy responses is still scarce. Our study addresses this gap. Based on a survey and in-depth interviews with high-level policymakers worldwide, we explore how they perceive the intersection of mind and climate change, how it is reflected in current policymaking and how it could be better considered to support transformation. Our findings show, on the one hand, that the mind is perceived as a victim of increasing climate impacts. On the other hand, it is considered a key driver of the crisis, and a barrier to action, to the detriment of both personal and planetary wellbeing. The resultant vicious cycle of mind and climate change is, however, not reflected in mainstream policymaking, which fails to generate more sustainable pathways. At the same time, there are important lessons from other fields (e.g. education, health, the workplace, policy mainstreaming) that provide insights into how to integrate aspects of mind into climate policies. Our results show that systematic integration into policymaking is a key for improving both climate resilience and climate responsiveness across individual, collective, organisational and system levels and indicate the inner human potential and capacities that support related change. We conclude with some policy recommendations and further research that is needed to move from a vicious to a virtuous cycle of mind and climate change that supports personal and planetary wellbeing.","2022-07","2023-10-03 14:18:48","2023-10-03 14:18:48","2023-10-03 14:18:48","7","","1-2","173","","Climatic Change","At the intersection of mind and climate change","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/C9JZ4MRE/Wamsler_Bristow_2022_At the intersection of mind and climate change.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6A8TWQKC","journalArticle","2022","Fougères, Dorian; Jones, Mike; McElwee, Pamela D.; Andrade, Angela; Edwards, Stephen R.","Transformative Conservation of Ecosystems","Global Sustainability","","2059-4798","10.1017/sus.2022.4","https://www.cambridge.org/core/product/identifier/S2059479822000047/type/journal_article","","2022-03-04","2023-10-03 14:29:35","2023-10-03 14:29:35","2023-10-03 14:29:35","1-27","","","","","Glob. Sustain.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/E33PYC9Y/Fougères et al_2022_Transformative Conservation of Ecosystems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XYUZMIJ","journalArticle","2015","Gliessman, Steve; Tittonell, Pablo","Agroecology for Food Security and Nutrition","Agroecology and Sustainable Food Systems","","2168-3565, 2168-3573","10.1080/21683565.2014.972001","http://www.tandfonline.com/doi/abs/10.1080/21683565.2014.972001","","2015-02-07","2023-10-03 14:38:32","2023-10-03 14:38:32","2023-10-03 14:38:32","131-133","","2","39","","Agroecology and Sustainable Food Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Q9GAUX6","book","2022","Mulgan, Geoff","Another world is possible: how to reignite social and political imagination","","978-1-78738-691-4","","","","","2022","2023-10-03 14:39:43","2023-10-03 14:39:43","","","","","","","","Another world is possible","","","","","Hurst & Company","London","eng","","","","","Open WorldCat","","OCLC: 1314336147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQRJSH2I","journalArticle","2021","Cousins, Joshua J.","Justice in nature-based solutions: Research and pathways","Ecological Economics","","09218009","10.1016/j.ecolecon.2020.106874","https://linkinghub.elsevier.com/retrieve/pii/S0921800919310419","","2021-02","2023-10-03 14:40:08","2023-10-03 14:40:08","2023-10-03 14:40:08","106874","","","180","","Ecological Economics","Justice in nature-based solutions","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8PIJA2E","journalArticle","2021","Woiwode, Christoph; Schäpke, Niko; Bina, Olivia; Veciana, Stella; Kunze, Iris; Parodi, Oliver; Schweizer-Ries, Petra; Wamsler, Christine","Inner transformation to sustainability as a deep leverage point: fostering new avenues for change through dialogue and reflection","Sustainability Science","","1862-4065, 1862-4057","10.1007/s11625-020-00882-y","https://link.springer.com/10.1007/s11625-020-00882-y","Abstract             This article provides a rationale for inner transformation as a key and hitherto underresearched dimension of sustainability transformations. Inner transformation relates to various aspects of human existence and interactions such as consciousness, mindsets, values, worldviews, beliefs, spirituality and human–nature connectedness. The article draws on Meadows’ leverage points approach, as places to intervene in a system, to reveal the relevance of inner transformation for system change towards sustainability. Based on insights from a series of dialogue and reflection workshops and a literature review, this article provides three important contributions to sustainability transformations research: first, it increases our conceptual understanding of inner transformation and its relevance for sustainability; second, it outlines concrete elements of the inner transformation-sustainability nexus in relation to leverage points; and third, it presents practical examples illustrating how to work with leverage points for supporting inner transformation. In sum, the paper develops a systematized and structured approach to understanding inner transformation, including the identification of deep, i.e., highly influential, leverage points. In addition, it critically discusses the often contentious and divergent perspectives on inner transformation and shows related practical challenges. Finally, current developments in inner transformation research as well as further research needs are identified.","2021-05","2023-10-03 14:47:51","2023-10-03 14:47:51","2023-10-03 14:47:51","841-858","","3","16","","Sustain Sci","Inner transformation to sustainability as a deep leverage point","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/NEWMCLNR/Woiwode et al_2021_Inner transformation to sustainability as a deep leverage point.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
